Time,HoTe,AwTe,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Ref,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HBP,ABP,HTTG,FTTG,TS,TST,TC,TF,TY,TR
19:45,Sheffield Weds,Burton,5,2,H,2,1,H,S Barrott,19,12,6,3,11,9,8,1,2,2,0,0,20,20,3,7,31,9,9,20,4,0
19:45,Shrewsbury,Rotherham,0,0,D,0,0,D,C Brook,14,14,5,2,13,6,6,7,1,0,0,0,10,0,0,0,28,7,13,19,1,0
19:45,Wigan,Fleetwood Town,2,0,H,2,0,H,M Coy,20,6,5,2,11,11,9,1,3,0,1,1,55,25,2,2,26,7,10,22,3,2
19:45,Wycombe,Cambridge,3,0,H,2,0,H,J Oldham,14,9,4,3,13,5,5,2,2,1,0,0,20,10,2,3,23,7,7,18,3,0
15:00,Cambridge,Shrewsbury,0,0,D,0,0,D,N Hair,5,21,0,4,6,13,3,11,1,2,0,0,10,20,0,0,26,4,14,19,3,0
15:00,Charlton,Sunderland,0,0,D,0,0,D,A Backhouse,8,17,0,8,10,16,1,9,4,1,0,0,40,10,0,0,25,8,10,26,5,0
15:00,Cheltenham,Doncaster,4,0,H,2,0,H,P Wright,21,7,6,2,11,14,4,1,3,1,0,1,30,35,2,4,28,8,5,25,4,1
15:00,Crewe,Wycombe,1,3,A,0,1,A,A Haines,9,16,2,5,7,13,5,1,2,1,0,0,20,10,1,4,25,7,6,20,3,0
15:00,Fleetwood Town,Ipswich,0,2,A,0,0,D,A Kitchen,6,11,3,4,9,8,3,4,1,2,0,0,10,20,0,2,17,7,7,17,3,0
15:00,Gillingham,Bolton,0,3,A,0,1,A,C Hicks,8,19,1,9,9,8,7,4,0,1,1,0,25,10,1,3,27,10,11,17,1,1
15:00,Lincoln,Sheffield Weds,3,1,H,1,1,D,M Coy,14,15,9,1,12,8,8,7,2,1,0,0,20,10,2,4,29,10,15,20,3,0
15:00,Oxford,Burton,4,1,H,4,1,H,S Purkiss,24,16,9,7,7,9,10,7,0,1,0,0,0,10,5,5,40,16,17,16,1,0
15:00,Plymouth,Morecambe,2,0,H,2,0,H,A Young,11,9,4,4,5,10,7,3,0,2,0,0,0,20,2,2,20,8,10,15,2,0
15:00,Portsmouth,Accrington,4,0,H,2,0,H,C Brook,11,25,4,6,12,8,6,9,2,2,1,0,45,20,2,4,36,10,15,20,4,1
15:00,Rotherham,Milton Keynes Dons,1,2,A,1,0,H,M Edwards,16,4,4,3,17,9,4,3,1,2,0,1,10,45,1,3,20,7,7,26,3,1
15:00,Wigan,AFC Wimbledon,1,0,H,1,0,H,O Langford,22,8,9,3,14,15,9,2,2,0,0,0,20,0,1,1,30,12,11,29,2,0
19:45,Crewe,Portsmouth,1,3,A,0,2,A,A Kitchen,17,17,4,12,13,11,7,5,1,2,0,0,10,20,2,4,34,16,12,24,3,0
19:45,Ipswich,Lincoln,2,0,H,2,0,H,T Reeves,17,4,3,1,12,10,9,3,1,3,0,0,10,30,2,2,21,4,12,22,4,0
19:45,Milton Keynes Dons,Cheltenham,3,1,H,2,0,H,C Hicks,9,9,6,4,13,9,3,4,0,1,0,0,0,10,2,4,18,10,7,22,1,0
19:45,Plymouth,AFC Wimbledon,2,0,H,1,0,H,S Allison,9,10,2,2,8,9,6,6,2,0,0,0,20,0,1,2,19,4,12,17,2,0
19:45,Sunderland,Fleetwood Town,3,1,H,0,1,A,S Barrott,14,11,7,5,13,13,3,2,2,0,0,1,20,25,1,4,25,12,5,26,2,1
20:00,Bolton,Morecambe,1,1,D,0,1,A,C Sarginson,25,4,4,3,8,14,13,1,0,4,0,0,0,40,1,2,29,7,14,22,4,0
15:00,Accrington,Charlton,2,1,H,2,1,H,S Mather,17,5,6,3,16,19,2,6,3,3,1,0,55,30,3,3,22,9,8,35,6,1
15:00,AFC Wimbledon,Lincoln,0,2,A,0,1,A,C Brook,13,7,5,5,17,13,10,2,4,3,0,1,40,55,1,2,20,10,12,30,7,1
15:00,Bolton,Plymouth,0,1,A,0,1,A,R Lewis,14,9,5,6,11,7,6,5,0,0,0,0,0,0,1,1,23,11,11,18,0,0
15:00,Burton,Fleetwood Town,3,2,H,0,1,A,O Langford,22,10,6,5,9,8,10,5,1,2,0,0,10,20,1,5,32,11,15,17,3,0
15:00,Doncaster,Gillingham,0,1,A,0,1,A,A Backhouse,15,8,4,3,10,8,6,2,1,0,0,0,10,0,1,1,23,7,8,18,1,0
15:00,Ipswich,Portsmouth,0,0,D,0,0,D,C Sarginson,14,6,3,1,12,8,11,3,2,2,0,0,20,20,0,0,20,4,14,20,4,0
15:00,Milton Keynes Dons,Wigan,1,1,D,0,0,D,R Madley,5,6,2,1,11,15,6,4,2,3,0,0,20,30,0,2,11,3,10,26,5,0
15:00,Morecambe,Cheltenham,1,3,A,0,1,A,A Kitchen,22,18,8,9,3,6,6,6,0,1,0,0,0,10,1,4,40,17,12,9,1,0
15:00,Sheffield Weds,Cambridge,6,0,H,4,0,H,S Stockbridge,23,6,10,2,9,5,6,2,0,0,0,0,0,0,4,6,29,12,8,14,0,0
15:00,Shrewsbury,Oxford,1,2,A,0,1,A,A Davies,14,8,5,3,12,3,8,0,1,0,0,0,10,0,1,3,22,8,8,15,1,0
15:00,Sunderland,Crewe,2,0,H,0,0,D,N Hair,14,3,7,1,13,11,7,2,5,3,0,0,50,30,0,2,17,8,9,24,8,0
15:00,Wycombe,Rotherham,0,0,D,0,0,D,C Hicks,12,12,1,4,10,12,2,2,1,2,0,0,10,20,0,0,24,5,4,22,3,0
19:45,Charlton,Gillingham,1,0,H,1,0,H,W Finnie,16,7,4,2,10,10,4,4,2,1,0,0,20,10,1,1,23,6,8,20,3,0
19:45,Crewe,Wigan,0,2,A,0,1,A,B Toner,7,13,2,4,14,14,2,5,1,2,0,0,10,20,1,2,20,6,7,28,3,0
19:45,Plymouth,Portsmouth,1,0,H,0,0,D,S Purkiss,20,13,6,0,10,9,4,10,2,2,0,0,20,20,0,1,33,6,14,19,4,0
19:45,Rotherham,Lincoln,2,1,H,2,0,H,A Haines,13,10,7,3,15,12,6,3,2,2,0,0,20,20,2,3,23,10,9,27,4,0
19:45,Sheffield Weds,Accrington,1,1,D,0,0,D,R Joyce,12,7,5,2,13,6,7,1,1,0,0,0,10,0,0,2,19,7,8,19,1,0
19:45,Shrewsbury,Morecambe,5,0,H,1,0,H,D Drysdale,14,8,6,0,9,7,0,2,0,2,0,0,0,20,1,5,22,6,2,16,2,0
19:45,Wycombe,Fleetwood Town,1,0,H,0,0,D,J Smith,19,9,3,4,20,12,3,3,2,2,0,0,20,20,0,1,28,7,6,32,4,0
15:00,Cambridge,Milton Keynes Dons,0,1,A,0,0,D,S Barrott,11,8,2,4,14,12,1,8,1,3,0,0,10,30,0,1,19,6,9,26,4,0
15:00,Charlton,Burton,2,0,H,2,0,H,R Welch,7,13,3,0,12,13,1,5,0,6,0,0,0,60,2,2,20,3,6,25,6,0
15:00,Cheltenham,AFC Wimbledon,3,1,H,0,1,A,S Oldham,14,11,4,4,7,10,5,2,2,1,0,0,20,10,1,4,25,8,7,17,3,0
15:00,Crewe,Bolton,0,1,A,0,0,D,S Purkiss,2,16,1,5,13,16,7,7,1,1,0,0,10,10,0,1,18,6,14,29,2,0
15:00,Fleetwood Town,Doncaster,0,0,D,0,0,D,P Howard,10,8,3,4,10,15,6,5,0,1,0,0,0,10,0,0,18,7,11,25,1,0
15:00,Gillingham,Sheffield Weds,0,0,D,0,0,D,G Ward,10,12,6,2,9,12,4,4,3,3,0,0,30,30,0,0,22,8,8,21,6,0
15:00,Lincoln,Sunderland,0,0,D,0,0,D,C Hicks,8,16,2,4,15,15,7,9,2,1,0,0,20,10,0,0,24,6,16,30,3,0
15:00,Oxford,Ipswich,1,1,D,0,0,D,M Edwards,16,12,4,6,8,10,5,4,2,2,0,0,20,20,0,2,28,10,9,18,4,0
15:00,Plymouth,Accrington,4,0,H,2,0,H,C Breakspear,16,16,7,4,7,12,6,9,1,1,0,1,10,35,2,4,32,11,15,19,2,1
15:00,Portsmouth,Wycombe,0,0,D,0,0,D,B Speedie,6,15,1,4,13,21,2,8,3,1,0,0,30,10,0,0,21,5,10,34,4,0
15:00,Rotherham,Shrewsbury,0,3,A,0,1,A,A Backhouse,12,18,2,10,5,11,6,7,1,3,1,0,35,30,1,3,30,12,13,16,4,1
15:00,Wigan,Morecambe,4,1,H,2,0,H,J Oldham,20,5,10,2,6,10,6,3,0,1,0,0,0,10,2,5,25,12,9,16,1,0
19:45,Plymouth,Cheltenham,2,0,H,2,0,H,C Pollard,17,16,6,9,9,3,5,3,0,1,0,0,0,10,2,2,33,15,8,12,1,0
15:00,Accrington,Gillingham,1,2,A,0,0,D,S Oldham,20,10,8,4,10,15,5,4,2,1,0,0,20,10,0,3,30,12,9,25,3,0
15:00,AFC Wimbledon,Cambridge,0,1,A,0,0,D,D Handley,6,5,1,2,16,13,4,2,2,2,0,0,20,20,0,1,11,3,6,29,4,0
15:00,Doncaster,Charlton,0,1,A,0,0,D,S Allison,8,14,1,9,6,11,3,2,1,4,0,0,10,40,0,1,22,10,5,17,5,0
15:00,Ipswich,Plymouth,1,0,H,1,0,H,D Rock,18,3,4,0,13,9,4,4,2,1,0,0,20,10,1,1,21,4,8,22,3,0
15:00,Sheffield Weds,Cheltenham,4,1,H,1,1,D,L Doughty,15,8,6,3,14,11,8,2,1,3,0,0,10,30,2,5,23,9,10,25,4,0
15:00,Shrewsbury,Lincoln,1,0,H,0,0,D,C Pollard,12,6,3,0,19,8,8,5,3,0,0,0,30,0,0,1,18,3,13,27,3,0
12:30,Wigan,Bolton,1,1,D,1,0,H,S Barrott,10,5,1,2,11,9,4,3,1,1,0,0,10,10,1,2,15,3,7,20,2,0
